10001,800,541
10003,1149,458
10005,761,410
10007,1091,636
10009,781,434
10011,835,636
10013,779,434
10015,1061,358
11001,817,598
11003,1089,684
11005,799,438
11007,1137,364
11009,1141,586
11011,831,652
11013,927,692
11015,803,608
12001,785,576
12003,807,484
12005,1125,458
12007,792,422
12009,1093,462
12011,791,420
12013,1089,422
12015,1129,648
13001,805,466
13003,797,390
13005,1125,560
13007,763,572
13009,833,412
13011,1091,580
13013,1075,402
13015,781,444
14001,1139,376
14003,1137,594
14005,1153,590
14007,852,374
14009,1089,414
14011,1128,655
14013,809,418
14015,1073,462
15001,1147,596
15003,805,468
15005,1111,630
15007,1105,458
15009,791,560
15011,1139,646
15013,1101,610
15015,793,490
16001,983,354
16003,865,566
16005,1117,454
16007,1155,618
16009,1147,452
16011,1133,428
16013,839,652
16015,787,646
